transaction_id,settlement_date,settlement_status,delay_hours
73,25-03-2024 09:04,Failed,4
74,11-09-2024 15:57,Settled,46
75,03-04-2024 03:57,Settled,5
76,25-08-2024 04:24,Settled,62
77,15-05-2024 15:06,Settled,38
78,08-09-2024 17:20,Settled,53
79,18-01-2024 04:28,Settled,11
80,24-05-2024 08:40,Settled,3
81,24-01-2024 22:48,Settled,42
82,10-11-2024 13:43,Settled,22
83,08-12-2024 08:26,Settled,4
84,18-08-2024 14:28,Settled,28
85,28-02-2024 10:40,Settled,10
86,22-07-2024 14:39,Settled,24
87,21-07-2024 13:01,Settled,55
88,17-10-2024 21:59,Settled,16
89,09-06-2024 11:07,Settled,46
90,23-04-2024 20:13,Settled,4
91,06-06-2024 19:26,Settled,2
92,08-07-2024 12:32,Settled,22
93,02-10-2024 13:24,Settled,6
94,06-02-2024 07:18,Settled,43
95,09-01-2024 15:07,Settled,4
96,22-01-2024 18:18,Settled,39
97,23-03-2024 00:52,Settled,39
98,27-09-2024 09:16,Settled,68
99,10-02-2024 14:20,Settled,57
100,19-12-2024 14:32,Failed,39
101,12-05-2024 17:31,Settled,47
102,08-12-2024 04:24,Settled,5
103,26-04-2024 09:45,Settled,22
104,26-03-2024 01:51,Settled,10
105,12-01-2024 06:01,Settled,63
106,07-08-2024 23:27,Settled,1
107,05-04-2024 16:57,Settled,35
108,06-05-2024 04:55,Settled,45
109,15-12-2024 04:14,Settled,42
110,17-10-2024 05:41,Settled,0
111,01-03-2024 23:07,Settled,21
112,08-09-2024 21:42,Settled,14
113,31-03-2024 16:31,Settled,16
114,12-11-2024 11:43,Settled,27
115,03-02-2024 04:30,Settled,56
116,23-08-2024 23:36,Settled,9
117,30-05-2024 01:10,Settled,27
118,10-05-2024 07:05,Settled,66
119,13-03-2024 11:11,Settled,48
120,09-04-2024 11:07,Settled,49
121,25-05-2024 21:49,Settled,70
122,28-08-2024 03:10,Failed,8
123,27-05-2024 04:50,Settled,28
124,26-01-2024 03:41,Settled,16
125,14-03-2024 01:06,Settled,40
126,28-06-2024 13:15,Settled,58
127,11-12-2024 12:11,Settled,70
128,09-12-2024 15:48,Settled,51
129,30-12-2024 00:04,Settled,7
130,30-09-2024 00:06,Failed,7
131,02-04-2024 07:19,Settled,8
132,29-04-2024 20:17,Settled,55
133,02-06-2024 19:28,Settled,41
134,24-02-2024 11:23,Settled,50
135,18-03-2024 18:15,Settled,22
136,23-07-2024 06:39,Settled,14
137,12-12-2024 03:22,Pending,21
138,13-02-2024 12:48,Settled,35
139,25-07-2024 08:33,Settled,30
140,08-02-2024 12:08,Settled,29
141,22-11-2024 00:33,Settled,27
142,30-12-2024 08:10,Settled,36
143,16-01-2024 15:41,Failed,16
144,17-02-2024 21:56,Settled,62
145,02-09-2024 13:02,Settled,63
146,24-11-2024 22:51,Settled,40
147,09-06-2024 13:28,Settled,60
148,17-09-2024 21:44,Settled,53
149,17-08-2024 17:01,Settled,9
150,13-01-2024 01:58,Settled,31
151,20-05-2024 07:07,Settled,31
152,02-02-2024 05:59,Settled,5
153,10-01-2024 01:49,Settled,58
154,14-01-2024 18:02,Settled,47
155,10-08-2024 14:04,Settled,46
156,21-04-2024 02:38,Settled,23
157,31-07-2024 01:53,Settled,16
158,05-09-2024 20:51,Settled,20
159,13-01-2024 19:30,Settled,11
160,05-12-2024 14:20,Settled,59
161,27-09-2024 04:39,Settled,2
162,01-01-2025 22:57,Settled,61
163,22-12-2024 23:41,Settled,56
164,19-06-2024 19:04,Settled,1
165,19-08-2024 08:29,Settled,40
166,12-08-2024 17:18,Settled,60
167,25-05-2024 09:08,Settled,46
168,08-11-2024 13:15,Settled,20
169,08-09-2024 20:17,Settled,44
170,16-07-2024 12:24,Settled,33
171,08-07-2024 11:32,Settled,23
172,09-09-2024 06:54,Settled,42
173,04-01-2024 02:59,Settled,20
174,16-02-2024 05:38,Settled,4
175,03-11-2024 01:46,Settled,68
176,11-05-2024 01:06,Settled,18
177,02-11-2024 01:05,Settled,33
178,13-07-2024 23:21,Settled,19
179,07-12-2024 00:56,Settled,6
180,15-08-2024 14:14,Settled,8
181,26-09-2024 04:28,Settled,53
182,25-10-2024 21:24,Settled,23
183,30-08-2024 10:24,Settled,43
184,20-05-2024 00:26,Settled,30
185,24-07-2024 08:43,Settled,56
186,24-04-2024 01:27,Settled,14
187,28-01-2024 09:30,Settled,58
188,18-03-2024 21:44,Settled,49
189,12-07-2024 03:16,Settled,11
190,02-04-2024 19:35,Pending,30
191,14-01-2024 16:07,Settled,20
192,02-04-2024 05:38,Settled,17
193,08-04-2024 00:43,Settled,16
194,07-08-2024 16:04,Settled,32
195,09-09-2024 07:20,Settled,13
196,18-10-2024 09:06,Settled,14
197,05-06-2024 14:22,Settled,60
198,13-02-2024 09:36,Settled,47
199,06-12-2024 23:45,Settled,28
200,09-10-2024 06:12,Settled,46
201,17-11-2024 06:15,Settled,8
202,29-04-2024 19:43,Settled,61
203,12-08-2024 04:16,Settled,46
204,25-09-2024 03:59,Settled,17
205,28-08-2024 17:44,Settled,7
206,21-07-2024 16:01,Settled,34
207,26-04-2024 23:07,Settled,46
208,27-12-2024 17:08,Settled,13
209,21-10-2024 23:09,Settled,55
210,28-11-2024 07:09,Settled,63
211,26-09-2024 17:04,Settled,51
212,25-12-2024 20:00,Settled,43
213,17-07-2024 07:05,Settled,51
214,04-05-2024 06:32,Settled,44
215,29-01-2024 23:22,Settled,47
216,01-05-2024 06:43,Pending,30
217,09-10-2024 19:38,Settled,19
218,11-06-2024 22:48,Settled,22
219,30-07-2024 09:07,Settled,5
220,09-02-2024 15:07,Settled,35
221,28-07-2024 12:38,Settled,34
222,20-11-2024 21:48,Settled,54
223,10-09-2024 15:14,Pending,18
224,10-09-2024 05:34,Settled,16
225,04-10-2024 13:31,Settled,35
226,08-11-2024 02:26,Settled,40
227,09-03-2024 09:56,Settled,30
228,10-02-2024 03:06,Settled,8
229,29-01-2024 19:43,Failed,29
230,26-03-2024 21:25,Settled,39
231,20-09-2024 06:49,Settled,4
232,15-06-2024 00:50,Settled,58
233,12-10-2024 15:48,Settled,66
234,09-06-2024 12:57,Settled,47
235,10-07-2024 03:30,Pending,19
236,14-12-2024 15:34,Settled,20
237,24-01-2024 22:22,Settled,35
238,06-01-2024 13:06,Settled,21
239,10-10-2024 17:26,Settled,38
240,22-01-2024 18:50,Pending,53
241,26-01-2024 14:36,Settled,7
242,13-05-2024 10:41,Settled,42
243,14-11-2024 13:13,Settled,47
244,28-06-2024 23:56,Settled,64
245,18-07-2024 09:13,Settled,59
246,24-07-2024 21:47,Settled,66
247,21-11-2024 13:04,Settled,20
248,24-09-2024 06:30,Settled,12
249,29-10-2024 08:08,Settled,51
250,07-02-2024 14:05,Settled,27
251,30-09-2024 08:29,Settled,19
252,27-06-2024 01:08,Settled,54
253,08-10-2024 06:47,Settled,0
254,14-11-2024 03:42,Settled,44
255,10-09-2024 19:36,Settled,58
256,10-05-2024 03:21,Settled,64
257,06-04-2024 03:55,Failed,7
258,06-07-2024 04:48,Settled,64
259,23-03-2024 14:21,Settled,65
260,31-01-2024 02:57,Failed,57
261,25-10-2024 19:12,Settled,51
262,01-11-2024 22:50,Settled,62
263,18-03-2024 05:51,Settled,65
264,31-07-2024 04:02,Settled,42
265,01-05-2024 03:47,Settled,32
266,05-03-2024 11:34,Settled,39
267,25-06-2024 07:57,Failed,50
268,18-04-2024 15:17,Settled,32
269,05-03-2024 02:36,Settled,58
270,18-04-2024 12:34,Settled,63
271,13-07-2024 21:20,Settled,9
272,05-11-2024 22:46,Settled,21
273,18-05-2024 04:58,Settled,61
274,16-09-2024 01:36,Settled,4
275,06-11-2024 07:11,Settled,19
276,15-04-2024 21:59,Settled,42
277,15-03-2024 13:58,Settled,6
278,29-05-2024 07:16,Settled,53
279,23-06-2024 22:43,Settled,32
280,28-11-2024 00:17,Settled,40
281,29-04-2024 11:25,Settled,16
282,07-11-2024 11:21,Settled,22
283,12-05-2024 03:04,Settled,33
284,22-10-2024 00:31,Settled,16
285,20-01-2024 13:44,Settled,57
286,22-09-2024 21:16,Settled,65
287,31-01-2024 05:33,Settled,13
288,03-06-2024 17:24,Settled,37
289,16-06-2024 19:33,Settled,14
290,18-04-2024 20:29,Settled,53
291,16-03-2024 05:38,Settled,58
292,10-09-2024 16:26,Settled,53
293,08-01-2024 23:42,Settled,62
294,13-12-2024 03:10,Settled,21
295,24-04-2024 19:47,Settled,4
296,28-06-2024 07:11,Settled,39
297,17-07-2024 03:41,Settled,60
298,09-05-2024 02:11,Settled,58
299,29-05-2024 03:54,Settled,68
300,31-07-2024 03:57,Settled,20
301,28-01-2024 19:55,Settled,67
302,16-12-2024 12:47,Settled,55
303,28-08-2024 04:05,Failed,30
304,15-10-2024 14:49,Settled,6
305,20-09-2024 20:41,Settled,50
306,12-04-2024 23:09,Settled,41
307,02-08-2024 11:15,Settled,62
308,31-07-2024 01:16,Settled,10
309,15-08-2024 09:40,Settled,29
310,03-07-2024 04:02,Settled,60
311,20-12-2024 12:43,Settled,14
312,05-09-2024 08:25,Settled,37
313,19-11-2024 10:38,Settled,65
314,09-09-2024 01:01,Failed,53
315,11-08-2024 11:42,Settled,48
316,03-08-2024 20:12,Settled,67
317,13-12-2024 14:10,Settled,52
318,26-10-2024 11:03,Settled,41
319,07-02-2024 20:34,Settled,70
320,25-10-2024 11:34,Settled,63
321,31-01-2024 17:14,Failed,39
322,11-03-2024 20:35,Settled,36
323,23-08-2024 05:50,Settled,2
324,15-10-2024 00:16,Settled,3
325,03-12-2024 13:40,Pending,57
326,03-03-2024 20:46,Settled,30
327,16-04-2024 01:57,Settled,37
328,30-07-2024 18:08,Failed,12
329,14-05-2024 08:10,Settled,59
330,04-03-2024 07:52,Pending,69
331,09-12-2024 08:25,Settled,15
332,24-02-2024 02:57,Settled,24
333,28-08-2024 05:02,Settled,58
334,29-08-2024 09:29,Settled,53
335,06-09-2024 02:17,Settled,30
336,13-09-2024 07:48,Settled,71
337,18-02-2024 00:15,Settled,41
338,26-06-2024 09:39,Settled,31
339,24-02-2024 17:43,Settled,1
340,27-03-2024 13:06,Settled,60
341,10-04-2024 23:14,Settled,45
342,29-05-2024 20:12,Settled,21
343,02-11-2024 23:05,Settled,11
344,26-05-2024 13:38,Settled,8
345,24-09-2024 04:26,Settled,39
346,01-03-2024 03:24,Settled,67
347,22-09-2024 19:03,Settled,34
348,24-05-2024 08:06,Failed,61
349,21-05-2024 08:18,Settled,36
350,09-03-2024 14:58,Settled,41
351,15-06-2024 16:58,Settled,32
352,16-03-2024 10:58,Settled,62
353,27-04-2024 06:34,Settled,0
354,16-12-2024 22:36,Settled,7
355,27-05-2024 18:32,Settled,17
356,06-04-2024 06:34,Settled,34
357,05-09-2024 03:50,Failed,53
358,15-11-2024 16:43,Settled,51
359,10-06-2024 08:59,Settled,56
360,13-10-2024 10:55,Failed,39
361,20-09-2024 09:41,Settled,51
362,22-03-2024 19:21,Settled,67
363,05-11-2024 11:55,Settled,8
364,24-05-2024 06:26,Settled,19
365,26-01-2024 07:03,Settled,52
366,02-04-2024 02:44,Settled,71
367,07-08-2024 21:09,Settled,11
368,02-07-2024 13:47,Settled,68
369,02-11-2024 06:33,Settled,7
370,09-06-2024 05:02,Settled,6
371,31-08-2024 12:55,Settled,66
372,24-06-2024 08:40,Settled,40
373,24-09-2024 05:08,Settled,26
374,22-08-2024 14:37,Settled,9
375,29-07-2024 01:48,Settled,18
376,14-01-2024 22:32,Settled,51
377,25-02-2024 08:56,Settled,36
378,21-09-2024 07:07,Settled,11
379,01-09-2024 23:04,Settled,10
380,21-06-2024 21:14,Settled,47
381,21-01-2024 21:17,Settled,57
382,17-04-2024 12:53,Settled,44
383,11-07-2024 17:00,Settled,32
384,21-08-2024 19:35,Settled,47
385,25-09-2024 19:56,Settled,14
386,19-01-2024 13:35,Settled,29
387,23-02-2024 12:34,Settled,40
388,22-09-2024 16:54,Settled,68
389,11-10-2024 15:34,Failed,57
390,09-09-2024 19:11,Failed,41
391,12-09-2024 18:32,Settled,16
392,12-04-2024 06:38,Pending,41
393,02-05-2024 19:51,Settled,34
394,23-05-2024 01:49,Settled,67
395,10-11-2024 23:20,Settled,11
396,30-03-2024 14:09,Settled,11
397,03-06-2024 10:53,Settled,11
398,05-05-2024 01:08,Pending,51
399,26-11-2024 10:48,Settled,69
400,29-03-2024 05:11,Settled,43
401,21-08-2024 16:50,Settled,44
402,23-09-2024 13:28,Settled,9
403,08-03-2024 15:06,Settled,29
404,23-12-2024 01:32,Failed,9
405,03-08-2024 22:09,Settled,37
406,02-09-2024 11:10,Settled,26
407,17-06-2024 06:56,Settled,25
408,30-03-2024 19:15,Settled,49
409,05-06-2024 07:45,Settled,22
410,07-12-2024 14:28,Settled,67
411,06-08-2024 22:11,Settled,6
412,28-11-2024 15:06,Settled,17
413,11-06-2024 02:51,Settled,44
414,24-10-2024 04:02,Settled,27
415,16-04-2024 20:58,Settled,39
416,25-11-2024 03:19,Settled,38
417,04-05-2024 13:56,Settled,64
418,18-06-2024 16:30,Failed,24
419,06-04-2024 22:52,Settled,13
420,19-02-2024 19:55,Settled,37
421,01-12-2024 22:23,Settled,21
422,19-01-2024 22:33,Settled,35
423,10-04-2024 18:53,Settled,13
424,18-10-2024 01:41,Settled,17
425,18-01-2024 21:16,Settled,65
426,31-10-2024 15:22,Settled,53
427,16-09-2024 06:44,Settled,63
428,16-12-2024 05:38,Settled,28
429,28-03-2024 13:41,Settled,28
430,12-01-2024 22:49,Settled,69
431,21-11-2024 19:47,Settled,34
432,05-07-2024 20:38,Settled,60
433,23-06-2024 12:57,Settled,54
434,03-01-2024 06:43,Settled,19
435,19-05-2024 23:13,Settled,8
436,26-10-2024 05:36,Settled,54
437,24-11-2024 08:32,Settled,31
438,28-09-2024 20:43,Settled,45
439,03-11-2024 08:10,Settled,25
440,30-10-2024 15:56,Settled,57
441,31-05-2024 04:38,Settled,26
442,22-09-2024 21:04,Settled,47
443,20-07-2024 23:43,Settled,22
444,13-08-2024 05:21,Settled,2
445,31-10-2024 02:08,Failed,27
446,27-09-2024 03:48,Settled,0
447,29-08-2024 12:39,Settled,67
448,02-08-2024 12:38,Settled,30
449,04-09-2024 09:45,Settled,13
450,22-01-2024 23:20,Settled,52
451,17-05-2024 13:16,Settled,4
452,04-04-2024 14:23,Settled,26
453,11-01-2024 06:48,Settled,51
454,31-10-2024 12:53,Settled,67
455,16-07-2024 11:38,Settled,34
456,06-11-2024 10:47,Settled,16
457,17-12-2024 16:29,Settled,8
458,22-12-2024 09:03,Settled,50
459,08-01-2024 10:14,Settled,42
460,01-05-2024 07:09,Settled,46
461,17-05-2024 04:05,Settled,30
462,27-05-2024 10:07,Failed,45
463,20-12-2024 08:27,Settled,27
464,20-06-2024 21:34,Settled,14
465,19-05-2024 14:24,Settled,44
466,08-04-2024 07:40,Settled,18
467,28-07-2024 00:39,Settled,50
468,04-12-2024 15:01,Settled,14
469,09-05-2024 04:54,Failed,34
470,21-09-2024 15:11,Settled,39
471,14-11-2024 19:31,Settled,36
472,05-11-2024 07:43,Settled,7
473,11-07-2024 13:56,Settled,32
474,12-11-2024 21:19,Settled,3
475,13-08-2024 12:10,Pending,27
476,16-03-2024 11:01,Settled,61
477,21-10-2024 20:36,Settled,1
478,05-07-2024 00:32,Settled,0
479,20-02-2024 06:02,Pending,26
480,11-10-2024 13:15,Settled,52
481,04-12-2024 12:49,Settled,25
482,13-05-2024 13:30,Settled,40
483,04-03-2024 16:08,Settled,8
484,20-03-2024 11:24,Settled,45
485,14-01-2024 15:36,Settled,33
486,04-08-2024 01:09,Settled,60
487,28-09-2024 07:12,Settled,49
488,04-02-2024 08:04,Settled,18
489,01-04-2024 18:53,Settled,24
490,03-05-2024 06:49,Settled,43
491,04-12-2024 17:39,Settled,23
492,08-11-2024 12:21,Settled,14
493,10-05-2024 21:24,Settled,21
494,17-10-2024 14:34,Settled,24
495,22-03-2024 10:01,Settled,49
496,01-02-2024 15:53,Settled,54
497,31-12-2024 02:52,Settled,45
498,24-08-2024 22:52,Settled,61
499,19-10-2024 04:14,Settled,46
500,30-11-2024 04:51,Settled,38
501,02-07-2024 10:39,Settled,20
502,26-05-2024 23:07,Settled,64
503,08-05-2024 17:55,Settled,65
504,15-10-2024 06:34,Settled,46
505,27-11-2024 14:25,Failed,14
506,02-05-2024 16:40,Settled,44
507,07-12-2024 02:35,Pending,55
508,13-10-2024 12:20,Settled,62
509,25-06-2024 21:36,Settled,2
510,15-02-2024 05:35,Settled,54
511,04-04-2024 06:37,Failed,59
512,29-11-2024 00:54,Settled,64
513,01-05-2024 07:17,Settled,25
514,20-11-2024 13:12,Settled,54
515,07-07-2024 18:10,Settled,65
516,27-01-2024 06:10,Settled,2
517,06-01-2024 21:21,Settled,29
518,17-03-2024 04:09,Settled,16
519,05-04-2024 20:20,Failed,29
520,01-03-2024 14:10,Settled,16
521,16-07-2024 03:08,Settled,59
522,10-03-2024 18:11,Settled,35
523,20-07-2024 14:13,Settled,10
524,11-02-2024 23:29,Settled,43
525,20-03-2024 01:11,Settled,30
526,16-11-2024 17:05,Settled,12
527,25-12-2024 23:00,Failed,37
528,26-11-2024 04:02,Settled,0
529,30-03-2024 06:17,Settled,27
530,22-06-2024 12:19,Failed,22
531,19-10-2024 01:55,Settled,14
532,04-08-2024 03:35,Pending,7
533,25-01-2024 00:01,Settled,19
534,12-07-2024 06:20,Settled,25
535,07-08-2024 03:51,Settled,49
536,24-03-2024 01:35,Settled,19
537,16-01-2024 21:23,Settled,68
538,15-06-2024 21:15,Settled,0
539,31-12-2024 00:19,Settled,58
540,28-01-2024 13:04,Settled,32
541,22-09-2024 07:20,Settled,36
542,01-05-2024 07:55,Settled,19
543,19-09-2024 00:59,Settled,24
544,02-07-2024 20:54,Settled,37
545,01-01-2025 11:16,Settled,50
546,21-02-2024 19:14,Settled,16
547,12-03-2024 20:28,Settled,42
548,23-07-2024 02:45,Settled,17
549,18-04-2024 13:26,Settled,25
550,13-05-2024 02:57,Settled,63
551,11-09-2024 05:59,Settled,34
552,20-01-2024 05:09,Settled,57
553,07-08-2024 16:55,Settled,55
554,11-12-2024 02:27,Settled,20
555,18-04-2024 09:42,Settled,34
556,22-10-2024 06:40,Settled,62
557,20-12-2024 10:10,Settled,63
558,24-03-2024 13:22,Settled,40
559,06-06-2024 17:19,Settled,54
560,24-11-2024 11:20,Settled,27
561,24-07-2024 22:00,Settled,55
562,07-03-2024 21:00,Settled,68
563,24-04-2024 00:00,Settled,25
564,21-08-2024 05:07,Settled,59
565,16-04-2024 07:36,Pending,65
566,11-04-2024 00:21,Settled,4
567,15-10-2024 13:24,Settled,27
568,14-03-2024 01:34,Settled,40
569,24-01-2024 05:55,Settled,28
570,25-03-2024 14:17,Settled,48
571,22-02-2024 01:36,Settled,12
572,17-09-2024 03:44,Settled,11
573,03-07-2024 15:04,Settled,11
574,28-06-2024 15:24,Settled,25
575,31-05-2024 08:54,Settled,7
576,15-02-2024 11:56,Settled,43
577,05-03-2024 12:54,Settled,48
578,28-10-2024 22:45,Settled,61
579,02-03-2024 17:42,Settled,6
580,24-04-2024 09:48,Settled,43
581,29-07-2024 13:24,Settled,2
582,07-12-2024 23:05,Settled,32
583,16-11-2024 21:06,Settled,13
584,10-11-2024 11:07,Settled,15
585,08-04-2024 07:28,Settled,1
586,30-07-2024 16:02,Failed,6
587,18-04-2024 12:03,Settled,38
588,27-04-2024 01:34,Settled,30
589,24-12-2024 02:02,Failed,33
590,07-04-2024 15:43,Settled,43
591,11-06-2024 11:32,Pending,6
592,20-08-2024 02:51,Settled,66
593,19-04-2024 03:43,Settled,61
594,19-10-2024 12:07,Settled,47
595,06-05-2024 08:28,Settled,15
596,04-02-2024 09:29,Settled,20
597,14-04-2024 09:56,Settled,21
598,14-06-2024 11:00,Settled,36
599,17-12-2024 15:54,Settled,60
600,07-09-2024 18:49,Settled,44
601,17-04-2024 15:55,Settled,71
602,30-03-2024 10:37,Settled,53
603,06-03-2024 13:43,Settled,19
604,10-06-2024 13:33,Settled,66
605,20-11-2024 18:20,Settled,39
606,17-12-2024 22:18,Settled,26
607,08-04-2024 12:00,Settled,70
608,13-07-2024 12:58,Settled,52
609,27-08-2024 21:28,Settled,34
610,21-09-2024 02:39,Settled,42
611,04-09-2024 21:51,Settled,56
612,16-10-2024 04:40,Settled,11
613,06-07-2024 14:27,Settled,36
614,20-11-2024 21:50,Settled,31
615,22-06-2024 12:07,Settled,56
616,02-10-2024 04:29,Settled,65
617,17-06-2024 13:08,Settled,67
618,04-07-2024 23:03,Settled,29
619,22-11-2024 16:31,Settled,52
620,19-05-2024 14:55,Failed,0
621,06-09-2024 16:59,Settled,26
622,12-08-2024 17:55,Settled,36
623,28-02-2024 10:09,Settled,14
624,12-10-2024 05:12,Settled,34
625,08-06-2024 20:08,Settled,54
626,18-09-2024 01:41,Settled,68
627,02-12-2024 23:55,Settled,10
628,18-07-2024 20:36,Settled,5
629,13-05-2024 07:34,Settled,71
630,02-12-2024 08:04,Settled,33
631,02-10-2024 10:40,Settled,23
632,27-01-2024 05:45,Settled,68
633,17-10-2024 19:35,Pending,22
634,02-08-2024 04:52,Settled,62
635,27-07-2024 15:50,Failed,50
636,11-11-2024 18:15,Settled,46
637,10-07-2024 14:26,Settled,55
638,26-05-2024 21:44,Settled,30
639,22-10-2024 10:39,Settled,55
640,28-09-2024 02:39,Settled,33
641,12-05-2024 15:46,Settled,3
642,26-11-2024 08:09,Settled,8
643,23-01-2024 22:55,Settled,45
644,15-05-2024 05:38,Settled,16
645,08-09-2024 20:23,Settled,71
646,23-06-2024 07:46,Settled,11
647,03-04-2024 07:48,Settled,10
648,25-05-2024 02:41,Settled,57
649,22-01-2024 10:18,Settled,48
650,27-02-2024 11:54,Settled,1
651,16-02-2024 10:25,Settled,6
652,18-11-2024 16:17,Settled,16
653,06-10-2024 11:21,Failed,49
654,09-11-2024 01:13,Settled,26
655,19-11-2024 03:29,Settled,27
656,04-11-2024 14:32,Failed,38
657,21-08-2024 07:42,Settled,6
658,04-03-2024 00:36,Settled,43
659,20-05-2024 18:11,Failed,53
660,02-11-2024 12:57,Settled,15
661,16-08-2024 17:06,Settled,7
662,27-03-2024 11:57,Settled,56
663,22-02-2024 14:28,Settled,69
664,08-10-2024 07:17,Settled,46
665,14-01-2024 13:05,Settled,65
666,23-01-2024 01:53,Settled,46
667,01-09-2024 17:07,Settled,63
668,07-12-2024 09:33,Settled,64
669,17-12-2024 12:48,Settled,55
670,14-08-2024 07:28,Settled,25
671,09-12-2024 20:40,Settled,52
672,16-08-2024 20:15,Settled,6
673,09-02-2024 00:12,Failed,60
674,28-04-2024 05:18,Settled,1
675,30-03-2024 02:53,Settled,50
676,03-01-2024 20:41,Settled,36
677,04-11-2024 18:11,Settled,68
678,11-01-2024 00:32,Settled,7
679,26-10-2024 09:23,Settled,16
680,08-01-2024 09:51,Settled,21
681,02-12-2024 17:24,Settled,6
682,05-08-2024 08:55,Settled,34
683,18-11-2024 12:10,Settled,41
684,08-07-2024 04:16,Settled,36
685,21-07-2024 06:44,Settled,7
686,05-07-2024 12:28,Settled,53
687,29-03-2024 21:22,Settled,35
688,20-07-2024 11:44,Settled,48
689,19-12-2024 04:53,Settled,5
690,04-09-2024 08:33,Settled,48
691,14-09-2024 19:20,Settled,26
692,02-01-2024 02:19,Settled,1
693,17-06-2024 04:02,Settled,67
694,14-02-2024 17:39,Settled,21
695,09-10-2024 20:05,Settled,12
696,21-01-2024 13:46,Settled,40
697,07-03-2024 06:04,Settled,35
698,27-01-2024 13:21,Settled,24
699,20-11-2024 20:57,Settled,37
700,16-07-2024 22:30,Settled,60
701,09-11-2024 11:11,Settled,69
702,28-11-2024 03:43,Settled,15
703,05-10-2024 09:49,Settled,18
704,21-08-2024 18:42,Settled,53
705,15-04-2024 22:12,Settled,42
706,20-01-2024 08:35,Settled,69
707,18-12-2024 03:13,Settled,28
708,05-08-2024 15:54,Settled,28
709,02-06-2024 13:39,Settled,69
710,13-05-2024 18:39,Settled,3
711,31-08-2024 02:57,Settled,48
712,22-09-2024 23:03,Settled,6
713,26-11-2024 05:38,Settled,31
714,11-08-2024 18:10,Settled,38
715,06-01-2024 02:06,Settled,11
716,18-04-2024 17:47,Settled,46
717,04-08-2024 12:13,Settled,44
718,11-11-2024 13:49,Settled,63
719,10-02-2024 17:45,Settled,43
720,31-03-2024 14:00,Pending,25
721,16-05-2024 12:42,Settled,33
722,29-12-2024 06:55,Settled,69
723,25-10-2024 08:39,Settled,35
724,08-02-2024 21:46,Settled,41
725,16-02-2024 12:04,Settled,5
726,23-09-2024 06:31,Settled,25
727,13-08-2024 00:00,Settled,62
728,06-03-2024 09:33,Settled,30
729,11-09-2024 12:12,Settled,43
730,06-03-2024 05:49,Settled,46
731,24-04-2024 09:55,Settled,63
732,15-07-2024 05:21,Settled,14
733,20-10-2024 20:47,Settled,56
734,19-09-2024 05:18,Settled,60
